Ubigeo;Fecha-Actualizacion;Departamento;Provincia;Distrito;Ruc;Proveedor;Modalidad;DomicilioLegal;CorreoElectronico;Telefono
150132;2021-03-12;LIMA;LIMA;SAN JUAN DE LURIGANCHO;20601422418;CONSORCIO IDOCOM;PRODUCTOS;MZ. O4 LT. 22 AA.HH. HOSPITAL DEL NIÑO;idomat.services@hotmail.com;3871651
150134;2021-03-12;LIMA;LIMA;SAN LUIS;20602768661;CONSORCIO ATLANTA;PRODUCTOS;AV. DEL AIRE N° 1015 DEPARTAMENTO 304 RESIDENCIAL CONDOMINIO DEL AIRE - EDIFICIO F3;atlantasociados@gmail.com;
150135;2021-03-12;LIMA;LIMA;SAN MARTIN DE PORRES;10038730008;CONSORCIO CRISTO REY;PRODUCTOS;T.GADEA 166 URB. S. GERMAN II MZ.H LT. 38;consorciocristorey1@gmail.com;16542713
150135;2021-03-12;LIMA;LIMA;SAN MARTIN DE PORRES;10419568959;CONSORCIO MYZ;PRODUCTOS;AV. TOMAS VALLE 2047 - URB. SAN PEDRO DE GARAGAY;consorciomyz@gmail.com;961109139
150135;2021-03-12;LIMA;LIMA;SAN MARTIN DE PORRES;10708571445;CONSORCIO THANIA;PRODUCTOS;Jr Santa Isabel Mz D Lt 40 Urb San diego;kareena_1724@hotmail.com;4979109
150135;2021-03-12;LIMA;LIMA;SAN MARTIN DE PORRES;10758535300;CONSORCIO NUTRIFAR 2;PRODUCTOS;PROGRAMA DE VIVIENDA LA RIVIERA, MANZANA A, LOTE 1;fdyarleque@gmail.com;
150135;2021-03-12;LIMA;LIMA;SAN MARTIN DE PORRES;10761822387;CONSORCIO QUALITY COMPANY;PRODUCTOS;Calle El Olivar Mz D Lt 3 Cooperativa Virgen de Fatima;cespedesbaconfernando@gmail.com;17641513
150135;2021-03-12;LIMA;LIMA;SAN MARTIN DE PORRES;20450575934;CONSORCIO SUAREZ;PRODUCTOS;AV. TOMAS VALLE N° 2045 URB. SAN PEDRO DE GARAGAY;suarezconsorcio@hotmail.com;15389143
150135;2021-03-12;LIMA;LIMA;SAN MARTIN DE PORRES;20503516455;PALOMA NIDITO DE AMOR E.I.R.L.;PRODUCTOS;"AV. HUANDOY (ANTES PROCERES) MZ 205 LT 35 P.J.P.M.V ""CONFRATERNIDAD""(AA.HH. SAN MARTIN DE PORRES)";nidito_14@hotmail.com;5284725
150135;2021-03-12;LIMA;LIMA;SAN MARTIN DE PORRES;20521948222;BROT PERU E.I.R.L.;PRODUCTOS;JR MELCHOR CUMPA MZ H LT 34 URB.COOP. LA UNION;brotperu@gmail.com;
150135;2021-03-12;LIMA;LIMA;SAN MARTIN DE PORRES;20600024290;INDUSTRIA DE ALIMENTOS ALE E.I.R.L.;PRODUCTOS;AV. BELAUNDE MZ E-01 LT 54 APV LOS LIBERTADORES;idaleirl@hotmail.com;4001918
150135;2021-03-12;LIMA;LIMA;SAN MARTIN DE PORRES;20602454356;CONSORCIO NUTRIFAR 1;PRODUCTOS;CALLE LOS CEDROS 489 URB. SHANGRILA;central@nutrifar.org;989011111
150137;2021-03-12;LIMA;LIMA;SANTA ANITA;20600414128;SDH SEÑOR DE HUANCA SOCIEDAD ANONIMA CERRADA;PRODUCTOS;CAL. SALVADOR DALI MZ. H-1, LOTE 10, URB. EL ASESOR I;sdhlogistico@gmail.com;13546607
150507;2021-03-12;LIMA;CAÑETE;IMPERIAL;20600470028;CONSORCIO ARBOL AZUL;PRODUCTOS; JR. SUCRE 510;arbolazuleirl@gmail.com;15897379
160101;2021-03-12;LORETO;MAYNAS;IQUITOS;20600058577;SERVICIOS E INVERSIONES LIVA E.I.R.L.;PRODUCTOS;PJ Angel Brusco N° 135;consorciosmp.pnae@gmail.com;65252162
160108;2021-03-12;LORETO;MAYNAS;PUNCHANA;20603838859;CONSORCIO ORIENT MARK;PRODUCTOS;Calle Cahuide N° 589;orientmarksac@gmail.com;-
160112;2021-03-12;LORETO;MAYNAS;BELEN;20567122167;COMERCIALIZADORA VALERY S.A.C.;PRODUCTOS;AV. ALFONSO UGARTE N° 285;comervasac@gmail.com;0
160113;2021-03-12;LORETO;MAYNAS;SAN JUAN BAUTISTA;20567165214;COMERCIALIZADORA DEL ORIENTE E & J S.R.L.;PRODUCTOS;AV. ALFONSO UGARTE N° 285;comeoriente@gmail.com;65235951
160113;2021-03-12;LORETO;MAYNAS;SAN JUAN BAUTISTA;20567193340;CONSORCIO GAL;PRODUCTOS;Carretera Iquitos - Nauta Sector Kiara Km 2.5 ;infocontablecomercializadora@gmail.com;3481968
160201;2021-03-12;LORETO;ALTO AMAZONAS;YURIMAGUAS;20600249160;GROUP INVERSIONES J & JK E.I.R.L;PRODUCTOS;VIA DE EVITAMIENTO S/N (COSTADO ALMACEN DE LA EMPRESA JUDOGA);groupinversionesjjk@hotmail.com;
170101;2021-03-12;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;20602828965;CONSORCIO AMAZONMARK;PRODUCTOS;Av. Andrés Avelino Cáceres N° 4041;bkn.foods.eirl@gmail.com;
180101;2021-03-12;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;10293885538;ZEBALLOS ZEBALLOS FRANCO LAZARO;PRODUCTOS;URB. LA FLORESTA AE2 TERCER NIVEL;planetmoquegua@hotmail.com;-
180301;2021-03-12;MOQUEGUA;ILO;ILO;10046476978;MANCHEGO RODRIGUEZ ISABEL MARIA;PRODUCTOS;AA.HH. 24 DE OCTUBRE MANZANA 35 LOTE 07;isabelmanchego@hotmail.com;
190301;2021-03-12;PASCO;OXAPAMPA;OXAPAMPA;20489620171;CONSORCIO FORTALEZA PERU;PRODUCTOS;CAR. CENTRAL KM. 3.5 BAR. MIRAFLORES;for.pasco@gmail.com;64404256
190307;2021-03-12;PASCO;OXAPAMPA;VILLA RICA;10457880168;CONSORCIO BETANIA;PRODUCTOS;Av. Leopoldo Krause N°1336;yes_hr@hotmail.com;
200101;2021-03-12;PIURA;PIURA;PIURA;20530234526;CONSORCIO MDO;PRODUCTOS;CALLE LOS EJIDOS DEL NORTE N° 116 FUNDO EJIDOS;eloygarces87@gmail.com;73404394
200101;2021-03-12;PIURA;PIURA;PIURA;20600983092;FUSEEX INDUSTRIAL E.I.R.L.;PRODUCTOS;URB. UPI P. LIBRE - LOS OLIVOS MZ. M LOTE 20;fuseex.industrial@gmail.com;979241329
200101;2021-03-12;PIURA;PIURA;PIURA;20602286666;AGROHILMART S.A.C.;PRODUCTOS;JIRON AREQUIPA 642 - PIURA;operacionesagrohilmart@gmail.com;73308259
200101;2021-03-12;PIURA;PIURA;PIURA;20603088116;CONSORCIO CIBELES;PRODUCTOS;MZ E LOTE 2 AV ANDRES AVENLINO CACERES ;alejovaeirl@gmail.com;
200104;2021-03-12;PIURA;PIURA;CASTILLA;20526549989;DISTRIBUCIONES MARIA KAROLINA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA;PRODUCTOS;"Cal. Los Pinos Mz ""S"" Lote N° 08 - Asociación Civil Casa Huerto Nuevo Amanecer";dismarkar@gmail.com;73305122
200104;2021-03-12;PIURA;PIURA;CASTILLA;20601704952;CONSORCIO FUSION21;PRODUCTOS; Mz E Lote.30 Urb. Miraflores Castilla;altascumbrespiurasac@gmail.com;-
200104;2021-03-12;PIURA;PIURA;CASTILLA;20601704952;CONSORCIO FUSIONPAT;PRODUCTOS;XVII etapa Mza. Y Lote 11 Z.I. Parque Residencial Monteverde (al costado de Aqualandia) Piura - Piura - Castilla;altascumbrespiurasac@gmail.com;-
200104;2021-03-12;PIURA;PIURA;CASTILLA;20601835941;CONSORCIO PATFUSION;PRODUCTOS;Calle los Robles Mz T lote 3 Asociación Civil Casa Huerto Nuevo Amanecer;olshekinah.sac@gmail.com;987339883
200115;2021-03-12;PIURA;PIURA;VEINTISEIS DE OCTUBRE;20530317901;REPRESENTACIONES VIRGEN DE LAS NIEVES S.A.C.;PRODUCTOS;LOTE 10  UBICACIÓN RURAL PREDIO ASOCIACIÓN SANTA LUCÍA - SECTOR COSCOMBA;gerencia1.vdn@gmail.com;
200115;2021-03-12;PIURA;PIURA;VEINTISEIS DE OCTUBRE;20601724651;CONSORCIO IHM;PRODUCTOS;FUNDO EX PREDIO COSCOMBA MZ O S/N A.H. VILLA HERMOZA. ;alimentoselchilalo@gmail.com;
200207;2021-03-12;PIURA;AYABACA;PAIMAS;20601548764;ALIMENTOS ANDINOS P & A E.I.R.L.;PRODUCTOS;Calle Paimas Alto N° 06 (Caserío Paimas Alto) - Paimas ;alimentosandinoseirl@hotmail.com;965919589
210101;2021-03-12;PUNO;PUNO;PUNO;10478357228;CONSORCIO OPERADORES LOGISTICOS;PRODUCTOS;AV. EL SOL N° 1169;elmer.negociosdelsur@gmail.com;51602613
210101;2021-03-12;PUNO;PUNO;PUNO;20448165044;CONSORCIO FAHE SOCIEDAD ANONIMA CERRADA;PRODUCTOS;JR. HUANCANE N° 858;jicc.peru@hotmail.com;
210101;2021-03-12;PUNO;PUNO;PUNO;20448860818;CONSORCIO GRUPO MARKETING ALIMENTARIA S.A.C.;PRODUCTOS;URBANIZACIÓN RINCONADA SALCEDO MZA. P LOTE 16;marketingalimentaria2020@gmail.com;952034007
211101;2021-03-12;PUNO;SAN ROMAN;JULIACA;10455257951;ZAPANA VILCA KAREN GLEDY;PRODUCTOS;Jr. Poemas Humanos, Mz. I Lote 4;kzapanavilca@gmail.com;
211101;2021-03-12;PUNO;SAN ROMAN;JULIACA;20406499562;ALIMENTOS PROCESADOS COILA S.A.C.;PRODUCTOS;JR. HUASCAR NRO. 1060 URB. SANTA MARIA (AL FRENTE DEL POLITECNICO) ;aliprocsac@hotmail.com;
211101;2021-03-12;PUNO;SAN ROMAN;JULIACA;20406544291;NUTRICION Y TECNOLOGIA ALIMENTARIA E.I.R.L.;PRODUCTOS;URB. MUNICIPAL TAPARACHI MZ B, LT 17B;nutritec.eirl@gmail.com;15207469
211101;2021-03-12;PUNO;SAN ROMAN;JULIACA;20447968216;DSM CORPORACION EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;PRODUCTOS;MANZANA A LOTE 18 URBANIZACION TAPARACHI APIRAJ;dsmproveedor.ps@gmail.com;0
211101;2021-03-12;PUNO;SAN ROMAN;JULIACA;20447969531;CORPORACION GRANIX  E.I.R.L.;PRODUCTOS;AV. POLIGONO INDUSTRIAL MZA B LOTE 01 URB APIRAJ;corporaciongranix@gmail.com;0
211101;2021-03-12;PUNO;SAN ROMAN;JULIACA;20600039785;CONSORCIO GRUPO CORPERU;PRODUCTOS;URB. TAPARACHI LOTE I33C;corperufoodsac@gmail.com;-
211101;2021-03-12;PUNO;SAN ROMAN;JULIACA;20601617022;CORPORACION BEGANX S.A.C.;PRODUCTOS;JR. NESTOR S. MOLINA MZ. K LOTE 12;beganxsac@gmail.com;951347425
211101;2021-03-12;PUNO;SAN ROMAN;JULIACA;20603500530;CONSORCIO CORPORACIÓN ALIMENTOS;PRODUCTOS;AV. CIRCUNVALACIÓN N° 1189 URB. MARIA LUISA;corpalinsasrl@gmail.com;966907011
220101;2021-03-12;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;20489231949;INVERSIONES LY S.A.C.;PRODUCTOS;JR ALONSO DE ALVARADO 601;inversionesly@hotmail.com;967689855
220501;2021-03-12;SAN MARTIN;LAMAS;LAMAS;20542365227;CONSORCIO KIMBA;PRODUCTOS;JR CHICLAYO N°289 ;ecodex104@gmail.com;
220705;2021-03-12;SAN MARTIN;PICOTA;PUCACACA;20600831837;CONSORCIO SVD;PRODUCTOS;JIRON BELAUNDE TERRY NRO. 305;jhdgmenfis@hotmail.com;980035023
220705;2021-03-12;SAN MARTIN;PICOTA;PUCACACA;20604319022;CONSORCIO AGROLACTHA;PRODUCTOS;JIRÓN BELAUNDE TERRY NRO. 305;lacthafoods@gmail.com;340620
220901;2021-03-12;SAN MARTIN;SAN MARTIN;TARAPOTO;10408070207;CARCAMO DEL AGUILA VANESSA LUZ;PRODUCTOS;JR. LIMA N° 1593;Vanessa.carcamod@gmail.com;
220901;2021-03-12;SAN MARTIN;SAN MARTIN;TARAPOTO;10409125692;SAAVEDRA RUIZ ALINA;PRODUCTOS;JIRÓN COMANDANTES CHIRINOS NRO. 453;alinasaavedraruiz@gmail.com;
220901;2021-03-12;SAN MARTIN;SAN MARTIN;TARAPOTO;20600085922;CONSORCIO FLASH;PRODUCTOS;AV. AVIACIÓN N° 470-B;gerencia@linksac.com;
220901;2021-03-12;SAN MARTIN;SAN MARTIN;TARAPOTO;20600085922;CONSORCIO YURI;PRODUCTOS;AV. AVIACION 470B;gerencia@linksac.com;
220910;2021-03-12;SAN MARTIN;SAN MARTIN;MORALES;20605200363;CONSORCIO AVE FENIX;PRODUCTOS;PASAJE LA UNION N° 115;industriaspiedrasverdess.a.c@gmail.com;0
221001;2021-03-12;SAN MARTIN;TOCACHE;TOCACHE;20494056934;CONSORCIO KUSKA;PRODUCTOS;CAR. SECTOR ALMENDRAS NRO. S/N SEC. ALMENDRAS;gmiskysonko@gmail.com;16335605
230110;2021-03-12;TACNA;TACNA;CORONEL GREGORIO ALBARRACIN LANCHIPA;20533027424;INDUSTRIAS D'VIDA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - INDUSTRIAS D'VIDA E.I.R.L.;PRODUCTOS;URB. 3 DE DICIEMBRE I-8;INDUSTRIASDEVIDA@HOTMAIL.COM;52792450
250101;2021-03-12;UCAYALI;CORONEL PORTILLO;CALLERIA;10001240281;CONSORCIO INAMBU;PRODUCTOS;AV. CENTENARIO N° 279 - INT. 01;cledyepi@hotmail.com;61786907
250101;2021-03-12;UCAYALI;CORONEL PORTILLO;CALLERIA;10423413471;CONSORCIO NUEVA VIDA;PRODUCTOS;AV. CENTENARIO N° 279 - INT. 02;jeseniamaro05@hotmail.com;61443101
250101;2021-03-12;UCAYALI;CORONEL PORTILLO;CALLERIA;20352372910;AGROINDUSTRIA AMAZONAS SAC;PRODUCTOS;JR. INMACULADA N° 215;agroamazonas@hotmail.com;61571791
250101;2021-03-12;UCAYALI;CORONEL PORTILLO;CALLERIA;20394062686;CONSORCIO NUTRIFOODS;PRODUCTOS;JR. BOLIVAR 252;comercializadoranutrifoods2020@gmail.com;61784877
250105;2021-03-12;UCAYALI;CORONEL PORTILLO;YARINACOCHA;10001305081;CONSORCIO SAN MARTIN DE PORRES;PRODUCTOS;AV. ARBONIZACION MZ. F LOTE 1 URB. DAVID ABENZUR;gardel.murrieta@gmail.com;-
250105;2021-03-12;UCAYALI;CORONEL PORTILLO;YARINACOCHA;10101050241;CONSORCIO NUEVO AMANECER;PRODUCTOS;AV. YARINACOCHA MZ 167A LTE 6;mgsonia1@yahoo.com;-
250201;2021-03-12;UCAYALI;ATALAYA;RAYMONDI;20568429347;TREMARS-CRM SOCIEDAD ANONIMA CERRADA;PRODUCTOS;Jr. Urubamba Nro. 513;tremars_crm@hotmail.com;-
